buurt;Surinaams;Antilliaans;Turks;Marokkaans; overig niet-westers;totaal niet-westers;westers;Nederlands;totaal;;
A00a Kop Zeedijk;27;14;15;5;140;201;389;510;1100;;
A00b Oude Kerk e.o.;18;5;7;4;96;130;245;353;728;;
A00c Burgwallen Oost;35;18;13;14;243;323;537;753;1613;;
A00d Nes e.o.;4;1;7;1;28;41;133;177;351;;
A00e BG-terrein e.o.;13;5;8;9;58;93;189;391;673;;
A01a Stationsplein e.o.;0;0;0;0;1;1;0;0;1;;
A01b Hemelrijk;13;7;9;4;57;90;213;274;577;;
A01c Nieuwendijk Noord;9;1;5;1;81;97;193;173;463;;
A01d Spuistraat Noord;18;5;12;4;103;142;311;372;825;;
A01e Nieuwe Kerk e.o.;17;5;12;7;135;176;305;339;820;;
A01f Spuistraat Zuid;7;4;8;5;93;117;280;325;722;;
A01g Begijnhofbuurt;5;1;5;7;54;72;137;208;417;;
A01h Kalverdriehoek;3;3;10;1;41;58;122;129;309;;
A02a Langestraat e.o.;20;10;12;3;129;174;605;1093;1872;;
A02b Leliegracht e.o.;13;10;24;5;199;251;662;912;1825;;
A02c Felix Meritisbuurt;21;21;23;7;160;232;740;1086;2058;;
A02d Leidsegracht Noord;4;6;6;1;64;81;220;384;685;;
A03a Spiegelbuurt;9;8;13;3;108;141;303;377;821;;
A03b Gouden Bocht;2;1;2;0;10;15;53;80;148;;
A03c Van Loonbuurt;6;10;15;4;105;140;406;868;1414;;
A03d Amstelveldbuurt;19;9;24;6;126;184;416;912;1512;;
A03e Rembrandtpleinbuurt;1;3;10;5;94;113;189;187;489;;
A03f Reguliersbuurt;3;5;6;0;76;90;183;118;391;;
A03g Leidsegracht Zuid;7;2;3;4;39;55;248;358;661;;
A04a Oosterdokseiland;34;4;12;15;57;122;124;232;478;;
A04b Scheepvaarthuisbuurt;5;3;5;2;39;54;228;454;736;;
A04c Rapenburg;22;9;13;9;133;186;331;493;1010;;
A04d Lastage;9;6;12;10;93;130;289;667;1086;;
A04e Nieuwmarkt;58;13;11;15;143;240;388;978;1606;;
A04f Uilenburg;26;5;20;13;195;259;352;614;1225;;
A04g Valkenburg;35;8;10;7;135;195;355;651;1201;;
A04h Zuiderkerkbuurt;35;7;19;15;138;214;397;886;1497;;
A04i Waterloopleinbuurt;24;7;9;9;104;153;243;468;864;;
A05a Westerdokseiland;134;18;34;53;232;471;402;1005;1878;;
A05b Haarlemmerbuurt Oost;37;5;8;17;151;218;400;869;1487;;
A05c Haarlemmerbuurt West;91;21;28;71;243;454;649;1363;2466;;
A05d Westelijke Eilanden;68;21;19;55;295;458;723;1747;2928;;
A05f Planciusbuurt Noord;15;6;2;3;39;65;109;177;351;;
A05g Planciusbuurt Zuid;10;4;0;3;20;37;32;96;165;;
A06a Driehoekbuurt;49;25;20;33;240;367;761;1604;2732;;
A06c Bloemgrachtbuurt;52;23;30;34;239;378;887;1682;2947;;
A06d Marnixbuurt Noord;80;9;30;46;142;307;356;766;1429;;
A06e Zaagpoortbuurt;46;18;16;40;129;249;275;439;963;;
A06f Marnixbuurt Midden;7;2;4;1;25;39;55;101;195;;
A06g Elandsgrachtbuurt;97;43;60;89;346;635;1280;2411;4326;;
A06h Passeerdersgrachtbuurt;16;13;10;11;67;117;243;504;864;;
A06i Groenmarktkadebuurt;3;5;7;4;29;48;83;112;243;;
A06j Marnixbuurt Zuid;17;5;11;15;65;113;189;376;678;;
A06k Anjeliersbuurt Noord;31;11;16;30;151;239;524;1322;2085;;
A06l Anjeliersbuurt Zuid;68;20;21;45;242;396;749;1792;2937;;
A07a Leidsebuurt Noordwest;1;2;4;0;35;42;94;123;259;;
A07b Leidsebuurt Zuidwest;0;0;3;3;21;27;58;46;131;;
A07c Leidsebuurt Noordoost;11;7;21;5;147;191;384;433;1008;;
A07d Leidsebuurt Zuidoost;9;4;0;3;37;53;81;156;290;;
A07e Weteringbuurt;26;15;26;19;212;298;771;1355;2424;;
A07f Den Texbuurt;13;9;8;5;89;124;331;626;1081;;
A07g Utrechtsebuurt Zuid;18;12;6;5;86;127;336;711;1174;;
A07h Frederikspleinbuurt;16;10;9;7;71;113;283;531;927;;
A08a Weesperbuurt;97;20;23;21;326;487;884;1736;3107;;
A08b Sarphatistrook;98;21;32;71;268;490;565;1119;2174;;
A08d de Plantage;29;13;13;13;160;228;474;1106;1808;;
A08e Alexanderplein e.o.;3;3;3;2;36;47;104;240;391;;
A09a Marine-Etablissement;0;0;0;0;18;18;7;52;77;;
A09b Kattenburg;103;16;32;55;200;406;320;994;1720;;
A09c Wittenburg;276;49;60;169;356;910;477;1173;2560;;
A09d Oostenburg;161;16;56;118;234;585;339;810;1734;;
A09e Czaar Peterbuurt;163;30;44;149;330;716;541;1140;2397;;
A09f Het Funen;42;8;21;71;148;290;328;719;1337;;
A09h Kazernebuurt;47;8;19;40;87;201;187;566;954;;
A09i Kadijken;71;14;26;57;292;460;653;1792;2905;;
B10a Coenhaven/Mercuriushaven;0;0;0;0;3;3;12;13;28;;
B10b Alfa-driehoek;0;0;0;0;2;2;0;0;2;;
B10c Petroleumhaven;0;0;0;0;0;0;1;1;2;;
B10d Westhaven Noord;3;0;7;1;1;12;4;23;39;;
B10e Vervoerscentrum;0;0;0;0;1;1;2;0;3;;
B10f Amerikahaven;0;0;0;0;1;1;4;9;14;;
B10g Afrikahaven;0;0;0;0;0;0;1;6;7;;
B10h Westhaven Zuid;3;0;1;0;1;5;4;2;11;;
E12a Houthavens West;41;15;27;37;187;307;499;1476;2282;;
E12b Houthavens Oost;19;1;9;11;36;76;171;421;668;;
