;city-part;2015;2016;2017;2018;2019;2015;2016;2017;2018;2019;2015;2016;2017;2018;2019;2015;2016;2017;2018;2019
A;Burgwallen-Oude Zijde;54;67;72;60;102;332;375;403;429;380;377;429;463;479;468;976;946;1069;1052;910
A;Burgwallen-Nieuwe Zijde;235;234;256;202;222;671;683;721;515;499;881;886;943;682;694;1571;1659;1905;1224;1160
A;Grachtengordel-West;11;4;12;10;6;47;56;32;26;35;56;58;41;35;41;120;125;105;116;99
A;Grachtengordel-Zuid;54;37;37;29;28;344;295;302;237;212;387;324;332;263;237;591;512;504;448;413
A;Nieuwmarkt/Lastage;32;30;36;36;42;149;187;177;169;194;178;211;206;200;233;496;557;555;495;510
A;Haarlemmerbuurt;17;18;15;10;9;55;68;71;42;56;69;85;84;52;63;312;422;360;272;227
A;Jordaan;37;23;29;13;20;92;67;96;84;75;127;89;125;95;94;365;317;308;294;335
A;De Weteringschans;29;31;42;26;48;308;294;301;223;206;331;321;336;245;247;540;467;431;417;356
A;Weesperbuurt/Plantage;13;16;6;7;5;42;20;32;41;28;55;34;38;47;33;135;108;127;131;115
A;Oostelijke Eilanden/Kadijken;15;36;15;5;7;48;27;37;37;28;61;59;51;42;33;153;137;152;151;122
B10;Westelijk Havengebied;18;11;24;6;8;29;54;53;34;47;47;64;77;38;55;118;188;135;90;96
E12;Houthavens;0;1;0;0;2;1;0;0;1;2;1;1;0;1;4;5;7;5;8;13
E13;Spaarndammer- en Zeeheldenbuurt;18;11;14;11;14;59;55;58;74;66;75;66;67;85;77;203;226;203;297;215
E14;Staatsliedenbuurt;11;8;10;13;21;49;34;31;26;36;58;42;41;38;54;189;147;138;129;120
E15;Centrale Markt;10;12;11;4;13;18;25;13;14;18;28;37;22;18;30;73;58;62;63;68
E16;Frederik Hendrikbuurt;17;12;11;6;8;38;16;17;15;15;55;27;27;21;23;102;93;94;93;95
E17;Da Costabuurt;9;12;6;8;8;44;42;21;16;24;49;53;26;23;30;170;152;110;68;112
E18;Kinkerbuurt;6;6;7;3;14;20;28;20;10;10;25;34;23;12;22;108;96;49;51;60
E19;Van Lennepbuurt;11;20;10;8;8;49;48;23;20;28;58;67;30;28;32;137;158;98;84;112
E20;Helmersbuurt;12;7;0;3;6;63;28;19;23;26;73;35;19;26;32;137;108;77;50;49
E21;Overtoomse Sluis;8;2;2;8;8;20;16;10;16;9;28;18;12;24;17;72;63;54;42;60
E22;Vondelbuurt;7;5;3;2;6;77;48;40;49;55;81;52;43;50;59;169;102;74;86;105
E36;Sloterdijk;15;4;1;7;6;33;26;20;16;29;48;30;21;22;34;89;90;121;67;96
E37;Landlust;26;42;37;38;31;90;89;56;66;59;112;126;89;91;85;361;321;261;200;200
E38;Erasmuspark;10;7;14;4;8;26;21;21;8;14;36;27;35;12;21;84;59;51;48;48
E39;De Kolenkit;11;7;12;4;8;52;39;31;24;29;62;45;43;26;36;115;103;98;65;85
E40;Geuzenbuurt;15;5;11;8;13;30;25;21;14;15;43;30;31;21;28;128;122;112;73;78
E41;Van Galenbuurt;15;7;10;7;5;25;29;40;31;23;39;35;49;38;28;86;88;94;91;49
E42;Hoofdweg e.o.;42;14;14;14;12;38;54;37;16;33;79;66;50;28;45;219;172;126;120;131
E43;Westindische Buurt;4;2;1;2;6;19;17;16;13;8;22;18;17;15;13;58;58;33;32;40
E75;Chassébuurt;15;3;8;6;4;30;24;16;16;13;40;27;24;22;17;70;77;39;41;52
F11;Bedrijventerrein Sloterdijk;5;20;39;13;33;61;57;97;49;83;66;76;132;61;111;169;164;238;194;301
F76;Slotermeer-Noordoost;39;21;28;17;25;49;38;39;38;42;86;56;66;55;64;243;210;174;145;150
F77;Slotermeer-Zuidwest;62;62;35;47;39;87;65;61;51;57;143;122;93;93;93;263;228;155;161;196
F78;Geuzenveld;15;20;29;20;14;55;66;29;44;31;69;83;56;63;43;189;194;123;129;111
F79;Eendracht;2;1;2;6;5;9;6;8;3;6;11;7;10;9;11;17;18;16;12;16
F80;Lutkemeer/Ookmeer;1;10;0;3;5;8;14;14;24;15;9;20;14;27;19;32;25;26;40;50
F81;Osdorp-Oost;78;41;51;29;55;131;100;86;76;83;202;139;134;101;133;360;322;290;236;271
F82;Osdorp-Midden;19;15;15;17;30;70;52;43;33;36;87;66;55;49;60;168;163;136;88;108
F83;De Punt;17;15;15;17;11;26;28;29;26;22;42;41;43;39;32;127;115;100;90;75
F84;Middelveldsche Akerpolder;9;5;2;11;11;56;20;17;23;28;63;25;18;31;35;108;65;54;52;57
F85;Slotervaart Noord;16;27;9;22;18;17;24;20;24;6;33;50;28;43;23;69;54;48;45;50
F86;Overtoomse Veld;41;35;23;22;11;89;65;57;59;47;124;94;79;76;56;218;191;170;126;121
F87;Westlandgracht;15;20;18;12;16;52;61;46;45;38;66;72;60;56;49;158;200;130;132;185
F88;Sloter-/Riekerpolder;12;13;6;6;10;46;33;27;18;22;57;42;33;24;32;130;130;86;81;85
F89;Slotervaart Zuid;40;24;40;46;33;52;48;56;38;34;87;68;92;80;61;184;130;111;126;98
K23;Zuidas;17;23;17;22;46;31;38;45;29;56;47;59;62;51;98;121;97;102;116;155
K24;Oude Pijp;23;23;23;16;31;86;81;89;75;106;109;102;112;89;131;365;419;384;379;353
K25;Nieuwe Pijp;23;18;16;19;10;47;47;36;30;34;69;65;51;47;43;213;191;168;174;137
K26;Zuid Pijp;6;5;8;11;13;17;18;25;16;13;22;23;31;25;25;100;81;56;78;82
K44;Hoofddorppleinbuurt;14;14;6;11;15;39;19;26;29;27;51;32;30;38;40;160;129;85;75;98
K45;Schinkelbuurt;2;1;6;0;4;9;13;5;9;10;11;14;11;9;14;44;61;54;42;25
K46;Willemspark;11;5;4;4;7;14;19;12;14;6;24;22;14;17;12;73;45;35;34;29
K47;Museumkwartier;66;56;43;32;56;137;115;104;81;124;198;165;140;111;170;379;264;248;213;256
K48;Stadionbuurt;22;20;12;20;46;46;58;48;36;53;63;77;57;52;97;182;164;164;169;174
K49;Apollobuurt;10;17;16;14;16;14;26;25;15;25;24;39;39;27;38;77;84;57;74;66
K52;Scheldebuurt;53;37;20;24;23;58;37;34;35;28;106;73;52;58;50;149;152;114;124;126
K53;Ijselbuurt;9;7;9;16;8;23;27;13;15;19;32;34;19;29;26;95;109;98;77;66
K54;Rijnbuurt;13;13;9;6;8;26;25;15;16;18;38;35;24;20;25;119;110;79;73;98
K59;Prinses Irenebuurt e.o.;2;8;3;0;6;7;4;7;4;4;9;12;9;4;9;14;13;10;4;5
K90;Buitenveldert-West;27;18;14;28;40;31;20;31;27;26;54;35;42;52;65;144;107;106;97;134
K91;Buitenveldert-Oost;16;7;8;7;6;32;30;22;20;22;47;36;28;26;28;120;98;80;69;70
M27;Weesperzijde;12;13;15;23;15;31;28;28;39;48;41;37;43;57;58;96;95;114;121;106
M28;Oosterparkbuurt;24;23;16;10;12;80;67;83;39;48;100;87;99;49;57;248;282;279;199;197
M29;Dapperbuurt;72;45;39;23;22;83;97;62;58;68;152;137;97;78;88;352;384;290;198;211
M30;Transvaalbuurt;15;11;14;8;5;25;29;18;12;17;39;40;29;19;22;109;107;130;111;100
M31;Indische Buurt West;17;21;15;5;12;93;46;35;28;28;104;64;46;33;39;252;184;141;110;152
M32;Indische Buurt Oost;26;19;22;6;17;48;42;37;26;30;68;60;55;32;47;169;185;138;94;132
M33;Oostelijk Havengebied;23;34;20;13;33;51;43;25;38;30;69;72;43;49;59;155;131;117;146;126
M34;Zeeburgereiland/Nieuwe Diep;1;7;5;3;7;6;13;5;7;15;7;17;10;10;21;40;24;22;42;50
M35;IJburg West;41;21;13;17;18;55;54;54;52;37;90;74;66;69;55;127;102;108;114;116
M50;IJburg Oost;0;0;0;0;1;1;0;1;1;0;1;0;1;1;1;0;1;7;5;0
M51;IJburg Zuid;14;23;14;8;20;31;18;27;13;15;45;41;38;19;35;51;39;46;41;33
M55;Frankendael;37;20;16;31;35;68;78;54;50;60;100;96;69;76;94;250;191;177;191;190
M56;Middenmeer;26;28;25;35;31;23;21;21;20;28;49;48;44;51;57;117;120;110;99;113
M57;Betondorp;1;2;4;1;3;3;5;1;3;5;4;7;4;4;8;47;31;26;21;26
M58;De Omval/Overamstel;9;3;5;5;4;45;29;40;32;25;52;32;43;37;28;126;80;84;72;69
N60;Volewijck;29;29;17;20;31;51;51;46;49;48;76;78;61;67;76;208;187;176;170;164
N61;IJplein/Vogelbuurt;21;17;21;12;17;64;36;22;35;28;78;52;42;44;45;149;120;131;119;90
N62;Tuindorp Nieuwendam;10;11;4;3;11;8;1;7;9;9;17;12;10;12;15;27;23;15;12;23
N63;Tuindorp Buiksloot;9;0;3;5;0;7;6;5;8;1;16;6;8;10;1;29;21;14;15;9
N64;Nieuwendammerdijk/Buiksloterdijk;3;1;2;4;2;2;0;3;8;3;5;1;5;12;5;9;7;9;7;8
N65;Tuindorp Oostzaan;13;14;15;18;19;16;27;17;16;15;27;38;30;32;34;76;67;63;67;67
N66;Oostzanerwerf;14;16;13;17;5;21;20;12;24;22;34;34;25;39;27;89;80;82;79;89
N67;Kadoelen;4;6;3;7;2;3;7;7;9;8;7;11;9;14;10;23;16;28;17;19
N68;Waterlandpleinbuurt;58;30;30;15;20;70;47;47;41;51;121;72;75;52;71;173;170;178;121;127
N69;Buikslotermeer;67;61;32;34;49;83;62;51;53;67;143;117;80;84;112;238;208;151;233;256
N70;Banne Buiksloot;30;48;21;15;16;52;48;28;41;20;77;91;48;53;36;135;119;91;110;101
N71;Noordelijke IJ-oevers West;13;9;3;8;12;34;41;29;27;31;43;49;32;33;43;102;76;60;66;120
N72;Noordelijke IJ-oevers Oost;7;3;0;3;2;17;10;14;11;8;19;13;14;14;10;33;45;39;57;34
N73;Waterland;7;6;2;4;1;15;7;5;13;5;21;12;7;15;5;23;21;34;20;21
N74;Elzenhagen;5;12;7;5;6;7;15;9;3;4;11;22;14;8;10;17;24;15;28;27
T92;Amstel III/Bullewijk;68;87;70;64;41;295;185;159;187;138;357;264;224;243;173;468;336;337;387;304
T93;Bijlmer Centrum (D,F,H);125;132;92;130;94;262;176;170;181;232;376;292;254;299;319;916;767;773;799;816
T94;Bijlmer Oost (E,G,K);87;90;85;58;68;131;141;155;79;112;203;221;229;134;169;559;564;451;463;441
T95;Nellestein;6;4;4;2;3;23;12;22;8;12;28;15;25;10;13;40;48;26;25;42
T96;Holendrecht/Reigersbos;62;90;55;52;31;75;76;79;53;66;133;152;122;94;89;352;321;219;256;208
T97;Gein;24;27;20;11;12;45;32;25;20;30;66;56;44;30;42;131;126;70;74;54
T98;Driemond;4;0;0;1;0;1;2;2;4;1;5;2;2;5;1;2;7;5;3;7
